Column1	Column2
accident vasculaire cérébral	(AVC)
accident vasculaire cérébral 	(maladie AVC)
accident vasculaire cérébral (AVC)	et d'autres lésions cérébrales
accidents vasculaires cérébraux 	(maladie AVC)
acétylcholine	connue sous le nom d maladie une substance chimique
acide aminosalicylique	(maladie Les préparations à base de 5-ASA)
acides gras	(lipides)
Acides gras oméga 3 	(maladie huile de poisson)
acides gras polyinsaturés	(trouble/s AGPI)
acouphènes	(des sifflements dans les oreilles)
acouphènes	(des bourdonnements dans les oreille)
acouphènes	(des tintements d'oreilles)
activités quotidiennes	 telles que ; trouble/s s'habiller, se nourrir et se doucher
affections	, notamment ; affection/s l'arthrose
affections	 telles que ; affection/s la pneumonie, la méningite et la diarrhée
affections	 y compris ; affection/s la douleur chronique
affections à long terme	comme affection/s l'asthme ou le diabète
affections anales	 telles que ; affection/s les hémorroïdes et les fistules
affections auto-immunes	telles que la polyarthrite rhumatoïde
affections auto-immunes 	telles que la polyarthrite rhumatoïde
affections chroniques	(trouble/s ; affection/s l'asthme, le trouble déficitaire de l'attention avec hyperactivité, l'insuffisance veineuse chronique, le diabète, la dysfonction érectile,  l'hypertension, l'arthrose)
affections chroniques 	( l'asthme (deux études), le trouble déficitaire de l'attention avec hyperactivité (une étude), l'insuffisance veineuse chronique (deux études), le diabète (quatre études), la dysfonction érectile (une étude), l'hypertension (deux études) et l'arthrose (trois études))
affections coûteuses et invalidantes	comme maladie ; affection/s les maladies cardiovasculaires, le cancer ou le diabète
affections dues à un excès d'acide urique	comme la goutte
affections médicales	 maladie ; telles que ; affection/s le diabéte, la polyarthrite rhumatoîde, les maladies cardiaques ou encore la naissance prématurée de bébés en sous-poids
affections orthopédiques	(affection/s musculosquelettiques)
affections pulmonaires	comme maladie ; affection/s les maladies pulmonaires obstructives chroniques
agents antigrippaux	(maladie amantadine, rimantadine, zanamivir et oseltamivir)
agents dopaminergiques	(maladie médicaments imitant l'effet du neurotransmetteur dopamine)
agents infectieux	tels que des champignons, des parasites et des virus
agents pathogènes	(maladie responsables de maladies)
agonistes de la dopamine 	(médicaments imitant la dopamine)
agranulocytose	(trouble/s une réduction de la production de globules blancs)
akathisie	appelé trouble/s un trouble moteur
akathisie	(agitation intérieure et incapacité à rester assis)
'alimentation par voie intraveineuse	(parentérale)
allergies	telles que l'asthme, la dermatite / l'eczéma, le rhume des foins
aminoadamantanes	 par exemple la rimantadine
amputées	(retrait chirurgical d'une partie du membre)
analgésiques	 ; tels que le fentanyl
anémie	(maladie faible taux d'hémoglobine)
anémie	, trouble/s un trouble qui se caractérise par une réduction du nombre de globules rouges et de la capacité du sang à transporter l'oxygène
anémie	qui représente trouble/s trouble sanguin
anémie	 maladie ; appelé un problème sanguin
anesthésiant	/  congelant
anesthésique local	 tel que l'améthocaïne, la benzocaïne ou la lidocaïne
anomalies coronariennes	 maladie lésions cardiaques
antagonistes de l'aldostérone	(par exemple la spironolactone ou l'éplérénone)
antagonistes des récepteurs de type 1 de l'angiotensine II	(ARA-II)
antécédents de consommation d'amphétamines	c'est-à-dire  la quantité cumulée et à la fréquence d'exposition aux amphétamines
antibiotiques	(clarithromycine, azithromycine et levofloxacine)
antidépresseurs	 tels que ;  des agents tricycliques
antigrippale	(maladie contre la grippe)
antihistaminiques	comme  les stéroïdes topiques
antihistaminiques	 par exemple Clarityne, Piriton, Zyrtec, Benadryl et Phénergan
antioxydant	(maladie protégant les cellules des lésions causées par des radicaux libres)
appareil orthodontique	(maladie bagues)
appendicite compliquée	 définie comme une appendicite gangreneuse (nécrose des tissus mous) ou perforée (rompue)
artères du coeur	(maladie coronaires)
artériopathie oblitérante de l'artère iliaque	 affection/s peut entraîner des douleurs dans les jambes à la marche (claudication intermittente), au repos, voire même des ulcères du pied ou de la jambe
articulations	(des hanches et des genoux)
articulations	comme ou le genou ou la hanche
articulations	telles que e genou ou votre hanche ou les articulations de vos mains
aspects de la santé physique	: maladie ; par exemple ; ou le poids, la taille, le tour de tête/bras/jambe, la durée de sommeil en 24 heures ; la durée des pleurs ou des agitations ; la bilirubine sérique et le nombre d'épisodes de maladie
assistance respiratoire	(maladie ventilation mécanique)
assistance respiratoire invasive	(par exemple l'intubation)
asthme	 trouble/s ; ou trouble respiratoire chronique
ataxie	 trouble/s ralentissement de la parole, de troubles de l'élocution ou parce que leur voix rend un son dur ou nasal
atélectasie pulmonaire	(c'est-à-dire  l'incapacité des poumons à se gonfler totalement)
athérosclérose	 maladie ; ou durcissement ou à l'obstruction des artères
attachement de l'enfant	(la capacité de l'enfant à chercher et à maintenir une relation proche avec le principal proche)
aucun traitement	(soins habituels)
