Column1	Column2
/syndrome d'immunodéficience acquise (VIH/sida) est une maladie qui affecte également les pays à faibles et moyens revenus 	/ syndrome d'immunodéficience acquise
5-aminosalicylates 	( 5-ASA)
a dépression et l'anxiété	, affectent jusqu'à 15  pour cent  de la population du Royaume-Uni 
a réduction de la quantité de liquide, calculée en ml	(différence du volume LO du bras affecté avant et après traitement)
accident vasculaire cérébral	(AVC)
acides gras d'origine marine	( huile de poisson)
Acides gras oméga 3	( huile de poisson)
acides gras oméga-3 d'origine marine	( huile de poisson)
Acides gras polyinsaturés 	( AGPI)
acides gras polyinsaturés à longue chaîne 	( AGPI-LC)
activités de la vie quotidienne	( AVQ)
aérobique	(requérant de l'oxygène)
affection	 céphalées
affections	( l'insuffisance veineuse chronique, le lymphoedème et les hémorroïdes)
affections	 la douleur chronique
affections	 une anémie hémolytique, une ataxie cérébelleuse et des difficultés cognitives
affections	don’t le cancer, les troubles arthritiques et les maladies cardiovasculaires
affections chroniques	: l'asthme, le trouble déficitaire de l'attention avec hyperactivité, l'insuffisance veineuse chronique, le diabète, la dysfonction érectile, l'hypertension et l'arthrose
affections chroniques	notamment les douleurs neuropathiques
affections cutanées inflammatoires	 affection/s ; telles que l'atopie et la séborrhée
affections inflammatoires chroniques	 telles que l'arthrite rhumatoïde, l'oesophagite et l'inflammation post-opératoire
affections liées au HPV	 les verrues génitales et la néoplasie intra-épithéliale cervicale (CIN)
agent	(par exemple par exemple le carboplatine)
agents chimioprotecteurs	(tel que acétylcystéine, amifostine, calcium et magnésium, diéthyldithiocarbamate, glutathion, ORG 2766, oxcarbazépine, acide rétinoïque ou vitamine E)
agents cytotoxiques	notamment le cisplatine, le méthotrexate, la doxorubicine et la vinblastine
agonistes	(par exemple buprénorphine, méthadone, naltréxone)
altérations métaboliques 	(ostéoporose, induction ou inhibition des enzymes hépatiques)
Antagonistes des récepteurs de l'adénosine diphosphate	( ADP)
antagonistes des récepteurs de l'adénosine diphosphate	( ADP)
antibiotiques	( traitements)
anticoagulants	tel que la warfarine ou l'héparine de bas poids moléculaire (HBPM)
anticoagulants	  la warfarine ou l'héparine de bas poids moléculaire 
anticorps monoclonaux anti-CD20	( le rituximab, l'ofatumumab et le GA101)
antidépresseur	(notamment comme des agents non conventionnels, comme l'hypéricum)
antidépresseurs de seconde génération	(ASG)
antidépresseurs tricycliques 	(ATC)
Antidépresseurs tricycliques pour troubles du spectre autistique	( TSA)
anti-inflammatoire non-stéroïdien	(AINS)
antipsychotiques	,  les benzodiazépines ou anti-histaminiques
antirhumatismal modificateur de la maladie 	(ARMM)
antirhumatismaux modificateurs de la maladie	( ARMM)
appareil vibratoire du corps entier	( EAV)
appareil vibratoire du corps entier	comme  l'utilisation d'une plate-forme oscillante verticale ou rotative produisant un stimulus physiqu
appendicite compliquée	définie comme  une appendicite gangreneuse ou perforée
apport calorique et nutritionnel 	( total issu des suppléments caloriques protéiques oraux et de l'alimentation)
approches chirurgicales	notamment la néphro-urétérectomie radicale ouverte et les procédures laparoscopiques
arthrite inflammatoire	( polyarthrite rhumatoïde, spondylarthrite ankylosante, arthrite psoriasique, autres spondylarthrites ou arthrite inflammatoire associée à des maladies des tissu conjonctifs)
arthrite inflammatoire associée à des maladies des tissu conjonctifs	(comme le lupus érythémateux disséminé)
augmentation de l'apport énergétique	y compris l'augmentation de la densité énergétique de l'alimentation au lait et/ou du volume des fluides
autres interventions 	c'est-à-dire des exercices de respiration ou l'exercice physique
autres types de schizophrénie 	comme  la psychose
auxiliaires dentaires 	soins bucco-dentaires
bléomycine, d'étoposide et de cisplatine 	( BEP)
blocage régional ou paracervical	(BPC)
bonne vision fonctionnelle  	(l'acuité visuelle de 6/12 ou plus)
bonne vision fonctionnelle  	(acuité visuelle de 6/12 ou plus)
borderline	( trouble de la personnalité limite)
BPCO	( les maladies respiratoires)
bronchectasie	 maladie respiratoire
bronchectasie	ou  maladie respiratoire
bronchoconstriction	est un/e considérée comme un marqueur de l'inflammation des voies respiratoires
bronchopneumopathie chronique obstructive	( BPCO)
bronchopneumopathie chronique obstructive	( BPCO)
bronchopneumopathie chronique obstructive	la maladie
bronchopneumopathie chronique obstructive 	( BPCO)
bronchopneumopathie obstructive chronique	(BPCO)
cancer	( le cancer du sein)
cancer	tel que le cancer colorectal métastatique
cancer du sein 	ou d'autre  maladie grave
carcinome in situ	  cancer précoce superficiellement invasif ou cancer superficiel T-1m T1-a
cathéters ayant d'autres modifications antimicrobiennes	par exemple les pansements antiseptiques, embases (hub), cathéters tunnélisés, connecteurs intraveineux sans aiguille ou verrous antibiotiques
causes de maladies respiratoires	 les causes virales et bactériennes, l'aspiration secondaire du contenu gastro-intestinal et les pathologies pulmonaires prédisposantes
centres de soins sans rendez-vous	( walk-in clinics)
centrolobulaire, péricellulaire et périportale	: trois types de fibrose cicatricielle le plus couramment observés dans la maladie alcoolique du foie
certains critères d'évaluation psychologiques	en particulier,   l'anxiété, la dépression et les troubles de l'humeur
Chi	( le concept traditionnel chinois traduit par la force vitale ou l'énergie)
cholestérol à lipoprotéines de faible densité	( LDL)
cirrhose	maladie maladie hépatique
claudication intermittente	se caractérise par  des douleurs dans les jambes ou les fesses pendant l'effort, disparaissant au repos.
communication à sens unique	 par exemple des messages textuels, des posters ou des programmes radio
communication bidirectionnelle	par exemple discussions face à face entre les parents et les professionnels de la santé
comorbidité	 des combinaisons d'affections courantes prédéfinies
comorbidité	 par exemple l'hypertension et une maladie cardio-vasculaire
comorbidités	tel que des maladies gastro-intestinales ou hépatiques
comparateurs actifs inhalés	par exemple solution saline hypertonique ou dornase alfa
complications	(risque de nausées et de vomissements postopératoires (NVPO), admission ou réadmission à l'hôpital, troubles comportementaux postopératoires et complications respiratoires et cardiovasculaires périopératoires)
complications au niveau de la plaie	(c'est-à-dire  une infection, une cicatrice hypertrophique et une sensibilité de la cicatrice)
complications au niveau de la plaie 	(c'est-à-dire une infection, une cicatrice hypertrophique et une sensibilité de la cicatrice)
complications obstétriques les plus graves 	,  une pré-éclampsie et une restriction de la croissance intra-utérine
conditions	tel que la maladie inflammatoire pelvienne et l'endométriose
contrôle	( placebo ou absence de traitement)
corticoïdes topiques	( intranasaux)
corticostéroïdes par voie orale 	( CSO)
co-traitement(s)	(par exemple  la ribavirine)
crises 	appelées des douleurs musculaires et osseuses
Critères diagnostiques de recherche 	(RDC)
d'âge gestationnel 	(AG)
d'agitation au réveil	ou, délire d'émergence
d'alimentation par sonde 	(gastrique, duodénale ou jéjunale)
Dans la mucoviscidose (MV), les maladies pulmonaires	sont caractérisées par l'altération de la clairance mucociliaire
de maladie de Parkinson avec démence	(DMP)
Débit de filtration glomérulaire estimé 	( DFGe)
