Column1	Column2
" volémie "	appelé/e le volume du sang
"glycémie"	appelé/e taux de sucre dans le sang
"shunt droit-gauche"	(la contamination du sang artériel oxygéné par du sang veineux)
« AOS »	ou « syndrome d’apnée–hypopnée obstructive du sommeil »
« Apnée obstructive du sommeil »	signifie vous avez de courts arrêts respiratoires, pendant que vous dormez
« Association Française du Syndrome d' Evans	appelé/e AFSE
« biothérapies »	(notamment le rituximab)
« circulation collatérale »	consiste à la circulation dans les autres artères
« claudication des mâchoires »	on parle de maladie/s une faiblesse douloureuse dans les muscles de la mâchoire lors de la mastication
« crise cardiaque »	Ce qu'on appelle la mort d'une région du muscle cardiaque
« crise cardiaque »	appelé/e « infarctus du myocarde »
« diabète non insulino-dépendant »	Egalement appelé maladie/s « diabète gras » ou « diabète de l' adulte »
« greffes cancéreuses péritonéales »	par exemple Lorsque les cellules cancéreuses se propagent dans la cavité péritonéale , elles peuvent se greffer un peu partout dans la cavité
« greffes cancéreuses péritonéales »	on parle de Lorsque les cellules cancéreuses se propagent dans la cavité péritonéale , elles peuvent se greffer un peu partout dans la cavité
« inclusions cytoplasmiques oligodendrogliales »	appelées maladie/s inclusions anormales
« lentivirus »	est dit aussi ; car maladie/s la maladie s' étale sur plusieurs années
« monochimiothérapie »	(appelé/e un seul médicament de chimiothérapie)
« monochimiothérapie »	(appelé/e un seul médicament de chimiothérapie)
« Numération Formule Sanguine »	(NFS)
« point de côté »	de type trouble/s une douleur dans la poitrine
« polychimiothérapie »	(appelé/e l' association de plusieurs médicaments de chimiothérapie)
« polychimiothérapie »	(appelé/e l' association de plusieurs médicaments de chimiothérapie)
« polysomnographie »	(PSG)
« polysomnographie »	appelé/e test
« resynchronisation » ou encore « stimulation biventriculaire »	appelé/e un fonctionnement très particulier du pace maker
« syndrome d’apnée–hypopnée obstructive du sommeil »	(SAHOS)
« syndrome d’apnée–hypopnée obstructive du sommeil »	(SAHOS)
« syndrome d’apnée–hypopnée obstructive du sommeil »	appelé/e La combinaison de moments d’apnée (interruptions de la respiration) et de moments d’hypopnée (respiration partiellement bloquée) 
« syndrome des jambes sans repos »	se manifeste par maladie/s des mouvements des jambes incessants au cours de la nuit , survenant sous la forme de contractions répétitives et brèves d' une ou deux jambes
