Column1	Column2
18F-fluoro-désoxy-glucose	(FDG)
18F-fluoro-désoxy-glucose	(FDG)
accident vasculaire cérébral	(AVC)
accident vasculaire cérébral	(AVC)
accident vasculaire cérébral 	(AVC)
accidents vasculaires cérébraux (	(AVC)
acroparesthésies et des angiokératomes	appelé/e affection/s douleurs des extrémités
activité de base de la vie quotidienne 	(trouble/s ADL)
activité des méthyltransférases de l' ADN	(DNMT)
activité histone-acétylase	(HAT)
affaiblissement récent global	(maladie/s asthénie , anorexie , amaigrissement)
affaiblissement récent sélectif	(troubles de la marche , troubles intellectuels)
affection  longue  durée	(affection/s ALD)
affection extra-articulaire	: affection/s psoriasis , acné , pustulose , entéropathie , infection génito-urinaire ou digestive , atteinte oculaire
affection extra-articulaire	: affection/s psoriasis , acné , pustulose , entéropathie , affection génito-urinaire ou digestive , atteinte oculaire
affection néoplasique	(affection/s splénique , gastrique , génito-urinaire , endocrinien , vésicale)
affection oculaire	(toute autre affection/s dégénérescence maculaire , glaucome)
affections	, comme maladie/s le syndrome de Gougerot-Sjögren ou le syndrome des antiphospholipides
affections dermatologiques	(maladie/s acnés conglobata et fulminante , hidrosadénite suppurée ou maladie de Verneuil , pustulose palmoplantaire)
affections dermatologiques	(psoriasis , pemphigus)
affections immunologiques	(lupus , syndrome des antiphospholipides)
Affections pulmonaires ( sans infection )	: affection/s asthme , mucoviscidose , ventilation mécanique
affections respiratoires chroniques 	(asthme , bronchopneumopathie chronique obstructive)
agents fongiques	(notamment Histoplasma)
Aides mécaniques	(trouble/s cannes , béquilles , déambulateur)
AJI	(arthrite juvénile idiopathique)
AJI	: arthrite juvénile idiopathique
ALD	(affection/s affection de longue durée)
ALD	(affection/s affection de longue durée)
ALD	(affection/s affection de longue durée)
ALD	(affection/s affection de longue durée)
ALD	(affection/s affection de longue durée)
ALD	: affection/s affection de longue durée
ALD	: affection/s affection de longue durée
amphotéricine	(AMB)
anesthésie générale	(trouble/s AG)
anomalies biologiques	(trouble/s syndrome inflammatoire , troubles de l' absorption)
antagonistes des récepteurs de l’angiotensine-2	(ARA-2)
antagonistes des récepteurs de l’angiotensine-2	(ARA-2)
antibiotique dit temps dépendant	tels que la vancomycine et les bêtalactamines
anticitrulline	[affection/s anti-CCP]
anticorps anticytoplasme des polynucléraires	(maladie/s ANCA)
anticorps antinucléaires	(maladie/s AAN)
anticorps antinucléaires	(FAN)
anticorps antinucléaires 	(FAN)
anticorps antiphospholipides	(trouble/s aPL)
anticorps anti-phospholipides	(trouble/s aPL)
antiépileptiques	notamment la gabapentine et la prégabaline
antifongiques	, l' itraconazole ( ITZ ) et l' amphotéricine B ( AMB )
antifongiques	l' itraconazole ( ITZ ) et l' amphotéricine B ( AMB )
antigènes spécifiques de Mycobacterium tuberculosis	tels que la catalase-peroxydase
anti-phospholipides	(trouble/s SAPL)
antithrombine	(AT)
apporter  une  nouvelle  fonction	(synthèse de facteurs neurotrophiques)
arguments histologiques	(maladie/s granulomes épithélioïdes et gigantocellulaires sans nécrose caséeuse)
Association de langue française pour l’étude du diabète et des maladies métaboliques	(maladie/s ALFEDIAM)
Association de langue française pour l’étude du diabète et des maladies métaboliques	(maladie/s ALFEDIAM)
asthme	(affection/s une affection respiratoire chronique)
asthme , mucoviscidose , ventilation mécanique	: affection/s Affections pulmonaires (sans infection )
ATM	est un senseur de dommage capable d' activer des voies de signalisation agissant notamment sur le cycle cellulaire et sur la recombinaison homologue
atteinte  pulmonaire	(trouble/s insuffisance respiratoire restrictive , hypoxémie , hypercapnie)
atteinte muqueuse	définie par une infiltration de la muqueuse sans atteinte de la musculeuse ou de la sous-séreuse
atteinte musculeuse	définie une obstruction intestinale complète ou incomplète avec infiltration de la musculeuse par des PNE en l’absence d’une ascite à éosinophiles
atteinte musculeuse	définie par une obstruction intestinale complète ou incomplète avec infiltration de la musculeuse par des PNE en l’absence d’une ascite à éosinophiles
atteinte sous-séreuse	définie une infiltration du tractus gastro-intestinal par des PNE associée à une ascite à éosinophiles
atteinte sous-séreuse	définie par une infiltration du tractus gastro-intestinal par des PNE associée à une ascite à éosinophiles
atteintes extra-neurologiques	tel que maladie/s le livedo du syndrome de Sneddon [101] , les douleurs acrales et les angiokératomes de la maladie de Fabry , les stries angioïdes et les lésions des grands plis du pseudoxanthome élastique [102] , ou encore l’atteinte rétino-cochléaire du syndrome de Susac
autisme  de  Kanner	(trouble/s les troubles développementaux de la personnalité ; trouble de l' unité )
autoanticorps	(maladie/s autoAc)
avoir ou non un aspect granulomateux	(PRD en graisse de mouton)
bacille de Klebs-Loeffler	(maladie/s corynebacterium diphteriae)
bactéries	(Yersinia , Salmonella)
biopsie des glandes salivaires accessoires	(BGSA)
Bloom	(échange d' ADN trop fréquent amenant à un retard de croissance et de nombreux cancers)
bouffées de chaleur , érythermalgie	(trouble/s Troubles vasomoteurs ou de la thermorégulation)
BPCO	: bronchopneumopathie chronique obstructive
BPCO	bronchopneumopathie chronique obstructive
bradykinésie	(ralentissement des mouvements)
bronchopneumopathie chronique obstructive	(BPCO)
burn out syndrome	connu sous le nom de un contexte d' épuisement et de dépression
cancers	notamment sein , des poumons , de la rate , et de l' estomac
cancers	notamment sein , des poumons , de la rate , et de l' estomac
cancers	notamment digestifs
cancers	notamment digestifs
carcinoma associated retinopathy	[CAR]
cardiovasculaires	(bronchospasmes , hypotension)
cardiovasculaires	(bronchospasmes , hypotension)
causes infectieuses 	: mycobactéries atypiques , en particulier chez des immunodéprimés [21] , lèpre [4] and [7] , histoplasmose [22] , candidose [3] and [5] , toxoplasmose [4] , Epstein-Barr virus
CD53	est un/e un marqueur leucocytaire
CD53	est un/e par exemple un marqueur leucocytaire
CD81 , CD82 , CD9	telles que des compartiments légèrement acides ( pH 6 ,2 ) riches en tétraspanines
cellules anormales	telles que des blastes ( leucémie ) , des schizocytes 
cellules immunitaires humaines	telles que les cellules T
cellules immunitaires humaines	telles que les cellules T
Céphalées avec signes de gravité	(trouble/s hypertension intracrânienne , troubles de la vigilance)
céphalées d’allure commune	(maladie/s migraine , céphalée de tension)
certaines comorbidités	tels que l’insuffisance rénale mais aussi les troubles cognitifs et psychiatriques graves , les associations médicamenteuses qui potentialisent l’activité des sulfamides hypoglycémiants , la polymédication ainsi que l’alcool
certaines hémopathies malignes	(syndromes lymphoprolifératifs)
certains virus 	comme le CMV , le HSV , l’EBV en cas d’hypercellularité dans le LCS , mais également le virus JC
chaise à primate	appelé/e système de contention utilisé chez le primate vigile encore
chorée gravidique	notamment maladie/s pendant une grossesse
chromosome 16	(maladie/s 16q12)
coagulation intravasculaire disséminée	(CIVD)
coefficient de diffusion apparent 	(maladie/s CDA)
comorbidités	tels que trouble/s  l’insuffisance rénale
comorbidités	tels que trouble/s l’insuffisance rénale
compartiments légèrement acides ( pH 6 ,2 ) riches en tétraspanines	telles que CD81 , CD82 , CD9 et partiellement CD63
complexes	(avec trouble de la vigilance)
complications cardiaques	(trouble/s arythmie ou troubles de la conduction)
complications de la corticothérapie chez les sujets âgés	, notamment l’ostéoporose , les complications cutanées et les complications morphologiques.
complications relèvent en effet d’un mécanisme hormonal	(trouble/s acné , hirsutisme , complications psychiatriques , troubles hydro-électrolytiques )
complications sévères	(maladie/s neuropathie périphérique , maladie thromboembolique veneuse profonde)
comportement moteur	(et notamment dyskinétique)
composés toxiques	comme les sels biliaires
comprimés à libération prolongée	(par exemple Kaléorid® , Topalgic® LP)
comprimés à libération prolongée	(par exemple Kaléorid® , Topalgic® LP)
comprimés gastro-résistants	(par exemple Dépakine® , Dépamide® , Inexium®)
comprimés gastro-résistants	(par exemple Dépakine® , Dépamide® , Inexium®)
comprimés gastro-résistants 	par exemple Dépakine® , Dépamide® , Inexium®
connectivites	(par exemple lupus systémique , syndrome de Sjögren , polyarthrite rhumatoïde , myopathies inflammatoires)
coping	: il s'agit de maladie/s la capacité à surmonter un événement éprouvant et d’en diminuer l’impact sur son bien être physique et psychique 
corticoïdes	(méthotrexate , mycophénolate mofétil , cyclophosphamide)
coxite	(maladie/s Les formes chroniques exceptionnellement destructrices)
crises non épileptiques psychogènes	(Les autres trouble/s crises somatoformes , troubles factices , simulations)
crises répétées	(notamment plus de deux crises en 24 heures)
cryoglobulines	, maladie/s des immunoglobulines (Ig ) anormales qui précipitent lors d' une exposition au froid
cryoglobulines	, maladie/s des immunoglobulines (Ig ) anormales qui précipitent lors d' une exposition au froid
cryopyrine	est appelé/e La protéine correspondante au gène CIAS1 a des régions homologues avec celle de la pyrine
cryptorchidisme	(affection/s non descente des testicules dans le scrotum)
cryptorchidisme	(non descente des testicules dans le scrotum)
CSI	: corticostéroïde inhalé
CSI	orticostéroïde inhalé
cutanées	(hématomes , lésions purpuriques)
cytokines  inflammatoires	(TNF? , IL-1? , IFN?)
cytomegalovirus	(CMV)
cytomegalovirus 	(CMV)
d'  affections  organiques 	d'ordre rhumatologique , hormonale , neurologique voire métabolique
d' autoAc non spécifiques 	(facteurs rhumatoïdes , antinucléaires , antiphospholipides )
d' autoAc non spécifiques (	(facteurs rhumatoïdes , antinucléaires , antiphospholipides)
d' HVA 	(4-hydroxy-3-méthoxyphenylacetique acide , Sigma)
d' inhibiteurs	tels que le F4P ou le transforming growth factor
d' une infection rétinienne adjacente	(par exemple ors d' une nécrose rétinienne aiguë)
d’accident vasculaire cérébral	(AVC)
d’affections dermatologiques	(psoriasis , pemphigus)
d’autres affections immunologiques 	(lupus , syndrome des antiphospholipides)
d’encéphalopathie postérieure réversible 	(maladie/s PRES)
Dc	(diagnostic)
Dc	: diagnostic
DDD	(définie dose définie journalière)
de  Bloom	(échange d' ADN trop fréquent amenant à un retard de croissance et de nombreux cancers)
de  liens	appelé/e Linking number , Lk
de  liens	appelé/e Linking number , Lk
de comprimés gastro-résistants 	(par exemple Dépakine® , Dépamide® , Inexium®)
de DOPAC	(3 ,4 dihydroxyphenylacetique acide Sigma)
de manière prolongée	(maladie/s pendant une période minimale de 18 mois)
DEP	: débit expiratoire de pointe
DEP	débit expiratoire de pointe
dérivation	ou dérivatisation
dérivation	ou dérivatisation
des  anomalies  structurales  et  cytoarchitecturales	(trouble/s neuropile , interactions neurone- glie)
des  arthralgies  intermittentes	(par exemple un rhumatisme palindromique)
des  défauts  de  pigmentation	, certaines zones sont dépigmentées alors que d' autres sont hyperpigmentées
des  défauts  de  pigmentation	, certaines zones sont dépigmentées alors que d' autres sont hyperpigmentées
des  formes  «  périphériques  »	caractérisé par une atteinte axiale , un amaigrissement important et la survenue rapide d' une insuffisance respiratoire , soit par un déficit distal des membres inférieurs de type pseudopolynévritique ( forme de Patrikios ) , ou bien encore par un déficit proximal des membres supérieurs ( flail arm syndrome )
des  maladies  génétiques  rares	, comme par exemple comme par exemple les syndromes de Werner ( dysfonctionnement d' une hélicase entraînant un vieillissement prématuré et le développement de pathologies liées au vieillissement ) ou de Bloom
des  manifestations  du  lupus	appelé/e un « lupus-like syndrome » ou un lupus « probable » , ou un lupus « latent » , ou enfin un lupus « incomplet »
des  manifestations  fonctionnelles 	: troubles du sommeil , céphalée , points douloureux , seuil de douleur abaissé , fatigue générale , troubles digestifs , anxiété générale , dépression
des  réactions  cutanées	telles que trouble/s l' apparition de rougeurs , des crises urticaires
des  réactions  cutanées	telles que trouble/s l' apparition de rougeurs , des crises urticaires
des  structures  d'  ADN  aberrantes	(extrusion de structures cruciformes au niveau de séquences répétées , triplex d' ADN et des boucles R d' hybridation ADN-ARNm)
des  structures  d'  ADN  aberrantes	(extrusion de structures cruciformes au niveau de séquences répétées , triplex d' ADN et des boucles R d' hybridation ADN-ARNm)
des  traitements  pharmacologiques 	(par exemple maladie/s administration de L-DOPA )
des  traitements  pharmacologiques 	(par exemple maladie/s administration de L-DOPA)
des  troubles  endocriniens  et  ophtalmologiques	(cataracte , kératite)
des  troubles  endocriniens  et  ophtalmologiques	(cataracte , kératite)
des  troubles  respiratoires  et  cardiovasculaires	(bronchospasmes , hypotension)
des  troubles  respiratoires  et  cardiovasculaires 	(bronchospasmes , hypotension)
des  veines  caves 	(veine cave supérieure et veine cave inférieure)
des affections auto-immunes 	: maladie/s thyroïdites [3] , [32] , [33] , [34] and [35] , diabète de type 1 [36] , cytopénies auto-immunes
des agents fongiques	(notamment Histoplasma)
des anomalies structurales pouvant expliquer la crise	(cicatrice tissulaire , d’origine inflammatoire ou ischémique)
des antifongiques	(itraconazole)
des antirétroviraux	(atazanavir [52] , indinavir [53] , nelfinavir [54])
Des attaques de sommeil	définies commes la survenue brutale , irrésistible et sans prodrome d' un épisode de sommeil
des autoAc anti-GAD	(maladie/s glutamic acide décarboxylase )
des bactéries à prolifération extracellulaire	telles que Neisseiria meningitidis ( ou méningocoque ) , Streptococcus pneumoniae et Haemophilus influenzae
des bactéries intracellulaires	comme Listeria monocytogenes
Des cellules	(PC12 ou GH3 )
des cellules avec des détergents	comme le CHAPS , le Brij58 , le Brij96 , le Brij97 et le Brij98 
des cellules avec des détergents	comme le CHAPS , le Brij58 , le Brij96 , le Brij97 et le Brij98
des compartiments légèrement acides ( pH 6 ,2 ) riches en tétraspanines	, CD81 , CD82 , CD9 et partiellement CD63
des complications sévères	telles que les complications cardiovasculaires ou le diabète
des comportements d' auto-mutilation	tels que des morsures
des comportements d' auto-mutilation	tels que des morsures
des effets indésirables	(trouble/s anémie , neutropénie , thrombopénie , dysthyroïdie , symptômes psychiatriques , troubles cutanés…)
des effets indésirables 	(trouble/s anémie , neutropénie , thrombopénie , dysthyroïdie , symptômes psychiatriques , troubles cutanés…)
des enzymes 	, en particulier la protéine cationique éosinophile
des étiologies	telles que maladie/s la maladie de Behçet
des facteurs de risque vasculaires dits « non conventionnels »	comme maladie/s la ménopause précoce , la corticothérapie au long cours , l’insuffisance rénale , l’hypertriglycéridémie , l’hyperhomocystéinémie , l’insulinorésistance , l’inflammation chronique et le syndrome métabolique
des facteurs susceptibles d’interférer avec l’alimentation	tels que trouble/s  l’isolement , le mauvais état buccodentaire , les difficultés économiques , les troubles psychocognitifs et la comorbidité
des grosses articulations	(hanche , genou , cheville)
des immunosuppresseurs	(mycophénolate mofétil)
des interventions pharmaceutiques	définie par toute action initiée par un pharmacien qui induit directement une modification de la prise en charge du patient
des lésions chroniques	(une atrophie tubulaire avec fibrose interstitielle)
des lignées	telles que les HEK-293T
des lymphomes peu différenciés 	(Burkitt)
des maladies auto-immunes	(maladie/s lupus érythémateux systémique , syndrome de Gougerot-Sjögren ou vascularites)
des maladies auto-immunes	notamment maladie/s la PR
