Column1	Column2
(cistita)	(infectiei urinare)
,,arsura’’	se refera la o leziune de regula tegumentara, ce provoaca distrugerea tesutului
“toleranta alterata la glucoza”	sau “glicemie bazala modificata”
”amine de trezire”	numite si „amine tonifiante”
”endoscopie digestiva inferioara”	numit testului
”endoscopie digestiva inferioara”	, un grup de teste efectuate la nivelul tractului gastrointestinal
„calciferol”	sau “vitamina soarelui”
„calciferol”	sau “vitamina soarelui”
„Chisturi pancreatice”	(asa-numitele polipi pancreas)
„deficit de glucozo-6-fosfat dehidrogenaza”	cunoscuta sub denumirea de afectiune
„factor de coagulare”	numita proteina esentiala care ajuta la formarea cheagurilor de sange in urma unei lovituri sau leziuni
„fascia”	un anumit tip de tesut conjunctiv
„gripa stomacului”	Denumita si afectiune
„gripa stomacului”	afectiune este mai frecventa in sezonul rece, intrucat norovirusul rezista la inghet
„itis”	inseamna „inflamatie”
„kick”	se mai numeste Totalitatea efectelor resimtite de catre cei care consuma aceste droguri
„paradoxul dietei franceze”	, situatie in care consumul de vin rosu in randul cetatenilor francezi pare sa fie legat de un risc mai mic de boli de inima, in ciuda continutului de alcool din vin
„plantara”	inseamna partea inferioara a piciorului
„seroconversie”	este denumita sistemul imunitar reactioneaza la virus dezvoltand anticorpi
„Triada nefasta”	reprezinta leziuni ale LIA, ligamentului colateral medial si meniscului medial
„Zona de confort”	inseamna un loc periculos pentru ca asigura o stare de siguranta, dar inseamna si stagnare si astfel o persoana nu poate sa creasca si sa se dezvolte
abdomenul de lemn	(contractura musculaturii abdominale specifica in apendicita sau peritonita)
abilitatile lor de gandire	(cognitive)
ablatie prin cateter	numita procedura
acanthosis nigricans	numita afectiune
accident vascular cerebral	cum ar fi probleme grave
accident vascular cerebral	(AVC)
accidentare majora	cum ar fi o fractura
accidentari, 	cum ar fi ruptura de ligament de cartilaj
accidente vasculare cerebrale si ale vaselor periferice	(leziuni ireversibiele la nivelul vaselor sanguine)
Accidentele rutiere	sau alte traumatisme
Accidentul cerebral	reprezinta un blocaj la nivelul unui vas de sange responsabil de conducerea fluxului sanguin catre creier
Accidentul vascular cerebral	este cea mai frecventa afectiune a creierului
Accidentul vascular cerebral	reprezinta o conditie medicala acuta fie de natura ischemica, fie hemoragica in urma careia se produce o perturbare in asigurarea fluxului sanguin normal
Accuzide Forte	sau alte medicamente
Acest lucru poate rezulta din ritmuri cardiace anormale (aritmii) sau un dezechilibru de electroliti – minerale 	cum ar fi sodiu, potasiu si calciu, care mentin echilibrul lichidelor din corp
acetaldehida	numit compus
acetaldehida	, substanta ce modifica antigenele de la nivelul membranei hepatice
acetaminofen sau ibuprofen	cum ar fi medicamente anti-durere si anti-febra
acetaminofenul sau ibuprofenul	cum ar fi medicamente pentru febra si durere
acid alfa-linolenic	numit un tip de acid gras Omega-3
acid alfa-linolenic	(ALA)
aciditatea	(pH-ul)
acizi	numiti cetone
acizi toxici	numiti corpi cetonici
acizilor grasi cu lant scurt	cum ar fi butiratul
acizilor grasi cu lant scurt	(SCFA)
Acneea	este o boala a pielii caracterizata prin puncte negre, puncte albe, inflamatie, eruptii cutanate, piele rosie si uneori leziuni profunde
Acneea	este o afectiune plurifactoriala si complexa
Acneea	este un tip de boala un tip de boala inflamatorie
Acneea	este o afectiune inflamatorie plurifactoriala
Acneea vulgara	este o boala de piele care apare din cauza hiperactivitatii glandelor sebacee
Acneea vulgara	sau acneea
Acneea vulgara	este o afectiune a pielii, si anume a stratului superficial, a epidermei
Acneea vulgara	caracterizata prin hipersecretia glandelor sebacee
Acneea vulgara	este o boala comuna a pielii care apare atunci cand sebumul si celulele moarte ale pielii astupa porii
Acneea vulgara	popular denumita acnee
Acromegalia	este o afectiune rara care rezulta in urma productiei excesive a hormonului de crestere
activitati normale	cum ar fi actul sexual
activitati normale 	cum ar fi actul sexual
activitatile fizice	cum ar fi efortul fizic general, sportul sau orice miscare intensa
acumulare de trigliceride	cunoscute fiind in literatura medicala sindroamele dislipidemice in cadrul carora trigliceridele, colesterolul sau alte particule lipidice cu potential patogen au un nivel crescut
