Statut,Lignes avec marqueurs + termes médicaux (texte original CLEAR EX),Lignes avec marqueurs + termes médicaux avec balises <t> (CLEAR EX),Terme médical,Marqueur,Indicateur,Reformulation
non,"Les essais remplissaient les critères suivants : 1) randomisés avec un groupe témoin adapté, 2) intention de réduire ou modifier les apports en graisses ou cholestérol (en excluant les interventions exclusivement à base d'acides gras oméga-3), 3) non multifactoriels, 4) personnes adultes souffrant ou non d'une maladie cardiovasculaire, 5) intervention d'au moins six mois, 6) données de mortalité ou de morbidité cardiovasculaire disponibles.","Les essais remplissaient les critères suivants : 1) randomisés avec un groupe témoin <t>adapté<t>, 2) intention de réduire ou modifier les apports en graisses ou <t>cholestérol<t> (en excluant les interventions exclusivement à <t>base<t> d'<t>acides gras<t> oméga-3), 3) non multifactoriels, 4) personnes adultes souffrant ou non d'une <t><t>maladie<t> cardiovasculaire<t>, 5) intervention d'au moins six mois, 6) données de mortalité ou de morbidité cardiovasculaire disponibles.",,,maladie/s ; ou non<h>,
non,"Dans le cadre des conseils de mode de vie qui sont destinés aux personnes présentant un risque de maladie cardiovasculaire et qui ont pour objectif de réduire les groupes de populations à risque, il convient de continuer à encourager la réduction permanente des graisses alimentaires saturées et leur remplacement partiel par des graisses insaturées.","Dans le cadre des conseils de <t>mode de vie<t> qui sont destinés aux personnes présentant un risque de <t><t>maladie<t> cardiovasculaire<t> et qui ont pour objectif de réduire les groupes de populations à risque, il convient de continuer à encourager la réduction permanente des graisses alimentaires saturées et leur remplacement <t>partiel<t> par des graisses insaturées.",,,maladie,
non,Ces résultats sont encourageants et suggèrent que la chimiothérapie pourrait jouer un rôle dans le traitement de cette maladie.,Ces résultats sont encourageants et suggèrent que la <t>chimiothérapie<t> pourrait jouer un rôle dans le traitement de cette <t>maladie<t>.,,,maladie,
oui,Le typhus des broussailles est une maladie bactérienne prévalente dans les régions de l'Asie et du Pacifique.,Le <t><t>typhus<t> des broussailles<t> <mdef>est une<mdef> <t>maladie<t> bactérienne prévalente dans les régions de l'Asie et du Pacifique.,Le typhus des broussailles,est un/e,maladie,maladie bactérienne prévalente dans les régions de l'Asie et du Pacifique
oui,"Des antibiotiques (chloramphénicol, tétracycline et doxycycline) sont utilisés dans le traitement de cette maladie.","Des antibiotiques (<t>chloramphénicol<t>, <t>tétracycline<t> et <t>doxycycline<t>) sont utilisés dans le traitement de cette <t>maladie<t>.",Des antibiotiques,(),maladie,"chloramphénicol, tétracycline et doxycycline"
non,"Nous avons consulté le registre spécialisé des essais cliniques du groupe Cochrane sur les maladies infectieuses (janvier 2010) ; CENTRAL (Bibliothèque Cochrane, numéro 4, 2009) ; MEDLINE (1966 à janvier 2010) ; EMBASE (1980 à janvier 2010) ; LILACS (1982 à janvier 2010) ; mRCT (janvier 2010).","Nous avons consulté le registre <t>spécialisé<t> des essais cliniques du groupe Cochrane sur les maladies infectieuses (janvier 2010) ; CENTRAL (Bibliothèque Cochrane, numéro 4, 2009) ; MEDLINE (1966 à janvier 2010) ; EMBASE (1980 à janvier 2010) ; LILACS (1982 à janvier 2010) ; mRCT (janvier 2010).",,,maladie,
non,Notre objectif était de déterminer si les traitements destinés à réduire la fièvre dans les cas de paludisme avaient un effet sur l'évolution de la maladie.,Notre objectif était de déterminer si les traitements destinés à réduire la <t>fièvre<t> dans les cas de <t>paludisme<t> avaient un <t>effet<t> sur l'évolution de la <t>maladie<t>.,,,maladie,
non,"Nous avons effectué des recherches dans le registre spécialisé du groupe Cochrane sur les maladies infectieuses (juin 2012), dans le registre Cochrane des essais contrôlés (CENTRAL) (The Cochrane Library numéro 6, 2012), MEDLINE (de 1966 à juin 2012) ; EMBASE (de 1980 à juin 2012) et LILACS (juin 2012).","Nous avons effectué des recherches dans le registre <t>spécialisé<t> du groupe Cochrane sur les maladies infectieuses (juin 2012), dans le registre Cochrane des essais contrôlés (CENTRAL) (The Cochrane Library numéro 6, 2012), MEDLINE (de 1966 à juin 2012) ; EMBASE (de 1980 à juin 2012) et LILACS (juin 2012).",,,maladie,
non,"Le coût des stéroïdes inhalés dans les pays en voie de développement implique que leur disponibilité soit limitée, et conduit à un l'asthme mal contrôlé chez des patients qui ont des prescriptions de faibles doses de stéroïdes inhalés, ou des prescription de stéroïdes oraux pour contrôler la maladie.","Le coût des stéroïdes inhalés dans les pays en voie de développement implique que leur disponibilité soit limitée, et conduit à un l'<t>asthme<t> mal <t>contrôlé<t> chez des patients qui ont des <t>prescription<t>s de faibles doses de stéroïdes inhalés, ou des <t>prescription<t> de stéroïdes oraux pour contrôler la <t>maladie<t>.",,,maladie ; ou non<h>,
non,"Si la maladie est confinée à des zones localisées du poumon, on procède souvent à une résection chirurgicale des segments affectés.","Si la <t>maladie<t> est confinée à des zones localisées du poumon, on procède souvent à une <t>résection<t> chirurgicale des segments affectés.",,,maladie,
non,Les futurs essais sur les traitements médicaux pour prévenir le rhume devraient évaluer une gamme de vaccins viraux pour cette affection.,Les futurs essais sur les traitements médicaux pour prévenir le rhume devraient évaluer une gamme de <t>vaccins<t> viraux pour cette <t>affection<t>.,,,affection/s,
non,La recherche initiale avait été planifiée et réalisée pour un ensemble plus large de troubles musculo-squelettiques.,La recherche initiale avait été planifiée et réalisée pour un ensemble plus <t>large<t> de troubles musculo-squelettiques.,,,trouble/s,
oui,"Le programme de réadaptation devait avoir été multidisciplinaire, c'est à dire comprendre une consultation médicale associée à une intervention psychologique, sociale ou professionnelle, soit une combinaison de celles-ci.","Le programme de <t>réadaptation<t> devait avoir été multidisciplinaire, c'est à dire comprendre une <t>consultation<t> médicale associée à une intervention <t>psychologique<t>, sociale ou professionnelle, soit une <t>combinaison<t> de celles-ci.",Le programme de réadaptation multidisciplinaire,c'est à dire ; ou non<h>,,"comprendre une consultation médicale associée à une intervention psychologique, sociale ou professionnelle, soit une combinaison de celles-ci"
